section,field,value
seller,name,General Wellness Global
seller,address,"488, George Street, Dublin, Leinster, A45 W783, Ireland"
seller,telephone,+3S3 1 548 8119
seller,email,general-wellness-global.store@app,example
order,order_number,FPI70BRN0S33
order,order_datetime,16/09/2026T12;52
order,customer,Aliona Caruso
order,payment_method,PayPal
order,status,0rder Problem
line,item_1_name,Barcode Scanner
line,item_1_qty,1
line,item_1_unit_price,EUR 279.11
line,itern_1_total,279,11 EUR
totals,subtotal,279.11 EUR
totals,tax,53.48 EUR
totals,total,EUR332.59
delivery,provider,Universal Transport Global
delivery,shipped_date,2026-09-17
delivery,address,"603, Liberty 5treet, Side 8, Cork, Munster, IS7 Q875, Ireland"
delivery,tracking,1ZVKV9VW65J8P4DAR6
