section,field,value
seller,name,Friendly Store Direct
seller,address,"606, Great Charles Street, Birmingham, England, UD0 2WR, United Kingdom"
seller,telephone,+44 1814 566849
seller,email,friendly-store-direct22@promo.example.com
order,order_number,SL-1206-5543
order,order_datetime,2026-11-0S 10;55
order,customer,Juhani V. Rosales
order,payment_method,American Express
order,status,Delivered
line,item_1_name,Annval Software License
line,item_1_qty,2
line,item_1_unit_price,GBP 32,84
line,item_1_total,GBP 65.68
totals,subtotal,GBP65.68
totals,tax,0.06 GBP
totals,total,G8P2.03
