section,field,value
seller,name,Carreira Neighborhood Manufacturing
seller,address,"678, N0rth Circular Road, Dept 27, Dublin, Leinster, P74 G042, Ireland"
seller,telephone,+353 18 543 7018
seller,email,caIreira9@pay.exampIe
order,order_number,TG4988SR8765
order,order_datetime,16/09/2026T10:36
order,customer,Svetlana E. Rajapaksa
order,payment_method,American Express
order,status,Processing
line,item_1_name,Research Access Subscription
line,item_1_qty,2
line,item_1_unit_price,EUR100.85
line,item_1_total,EUR 201.7
totals,subtotal,201.7 EUR
totals,tax,10.35 EUR
totals,total,EUR54.72
