section,field,value
seller,name,Lo and Baker Health
seller,address,"162, Canongate, Edinburgh, Scotland, DRS 8YO, United Kingdom"
seller,telephone,+44 20 3210 7081
seller,email,billing@mail.example
order,order_number,INV-94170330
order,order_datetime,06/04/2O26T13:20
order,customer,Chinwe J. Stenson
order,payment_method,Discover
order,status,Processing
line,item_1_name,Deep Cleaning Service
line,item_1_qty,1
line,item_1_unit_price,GBP 6I.07
line,item_1_total,61.07 GBP
totals,subtotal,GBP 61.07
totals,tax,2.76 GBP
totals,total,GBP14.97
