section,field,value
seller,name,Newton and Svensson Host
seller,address,"76, George Street, Sydney, New South Wales, 6153, Australia"
seller,telephone,+61 2 9325 4989
seller,email,newton-and-svensson-host@examplefulfillment.corn
order,order_nurnber,UA9348RIS00I
order,order_datetime,12/09/2O26 13:47:00
order,customer,Seiji M. 8lake
order,payment_method,American Express
order,status,Processing
line,item_1_name,HDMI Cable
line,item_1_qty,2
line,item_1_unit_price,292.SS AUD
line,item_1_total,585.1 AUD
totals,subtotal,585.1 AUD
totals,tax,I0.47 AUD
totals,total,A$595.57
