section,field,value
seller,name,Worth Thakur Lines
seller,address,"303, Cheapside, London, England, WZ39 1RP, United Kingdom"
seller,telephone,+44 1334 991084
seller,email,worth.lines@suppliers.example.com
order,order_number,INV-73951255
order,order_datetime,2026-07-19 07:16
order,customer,Daisuke Chikodzi
order,payment_method,Discover
order,status,Processing
line,item_1_name,Basic Subscription
line,item_1_qty,1
line,item_1_unit_price,GBP 6.83
line,item_1_total,6.83 GBP
totals,subtotal,GBP6.83
totals,tax,GBP 0.72
totals,total,GBP 7.55
