section,field,value
seller,name,Olympic Georviadis Analytics
seller,address,"725, Riverside Drive, # 29, Perth, Western Australia, 1239, Australia"
seller,telephone,+61 2 2668 415S
seller,email,olympic-georgiadis-analytics.team@partners.example.com
order,order_number,ORD25087184
order,order_datetime,26/03/2026 18;17
order,customer,Yulia O. Regan
order,payment_method,Gift Card
order,status,Pickup Available
line,item_1_name,Starter Set
line,item_1_qty,2
line,itern_1_unit_price,119.O6 AUD
line,item_1_total,AUD 238.12
totals,subtotal,AUD 238.12
totals,tax,0.62 AUD
totals,total,238.74 AUD
delivery,provider,Omega Express Network
delivery,shipped_date,2026-03-27
delivery,address,"128, La Trobe Street, Melbourne, Victoria, 4548, Australia"
delivery,tracking,SHIP8a8IO99669
