section,field,value
seller,name,Orbit Foundry
seller,address,"696, Brougham Street, Upper Level 28, Wellington, Wellington, 9025, New Zealand"
seller,telephone,+64 2 345 2802
seller,email,orbit.foundry@examplesupport.com
order,order_number,NK4I4BMX0765
order,order_datetime,2026-01-05 07:31
order,customer,Mikko Gallagher
order,payment_method,Store Credit
order,status,Processing
line,item_1_name,Design Package
line,item_1_qty,2
line,item_1_unit_price,321.74 NZD
line,item_1_total,NZ$643.48
line,item_2_name,Bookkeeping Service
line,item_2_qty,1
line,item_2_unit_price,233.7 NZD
line,item_2_total,NZ$233.7
totals,subtotal,877.18 NZD
totals,tax,NZD 10.76
totals,total,NZ$651.1
