section,field,value
seller,name,Rahman Bistro
seller,address,"65, Church Street, Birmingham, England, VH7 3EZ, United Kingdorn"
seller,telephone,+44 20 9547 1642
seller,email,support@storefront.example.com
order,order_number,PO-328456-LI
order,order_datetime,24.08.2026 11;56:00 order,customer,Selji Okafor
order,payment_method,Cash
order,status,Processing
line,item_1_name,Sausage Pack
line,item_1_qty,6
line,item_1_unit_price,2.92 GBP
line,item_1_total,GBPI7.52
line,item_2_name,Muffin
line,item_2_qty,4
line,item_2_unit_price,GBP36.49
line,item_2_total,145.96 GBP
totals,subtotal,163.48 GBP
totals,tax,GBP 26,11
totals,total,GBP166.7
delivery,provider,Direct Fulfillment Global
delivery,shipped_date,2026-08-24
delivery,address,"706, Cheetham Hill Road, Manchester, England, KQ7 0JK, United Kingdom"
delivery,tracking,IBOFJB6TOTX4WR2REP
